i,time
789,122
790,198
791,230
792,132
793,278
794,131
795,449
796,321
797,302
798,296
799,319
800,124
801,264
802,136
803,132
804,138
805,122
806,117
807,312
808,125
809,177
810,128
811,429
812,184
813,177
814,175
815,364
816,151
817,176
818,177
819,161
820,134
821,122
822,340
823,358
824,209
825,386
826,223
827,208
828,265
829,245
830,320
831,346
832,105
833,153
834,390
835,319
836,179
837,165
838,165
839,384
840,192
841,195
842,172
843,167
844,190
845,172
846,180
847,175
848,121
849,263
850,203
851,199
852,130
853,112
854,229
855,219
856,299
857,161
858,256
859,448
860,253
861,257
862,156
863,195
864,299
865,422
866,145
867,156
868,154
869,134
870,127
871,733
872,394
873,506
874,315
875,188
876,308
877,293
878,299
879,518
880,290
881,271
882,145
883,148
884,252
885,388
886,296
887,296
888,278
889,523
890,228
891,298
892,323
893,223
894,395
895,487
896,158
897,383
898,339
899,331
900,345
901,303
902,289
903,377
904,159
905,393
906,173
907,307
908,169
909,157
910,275
911,270
912,211
913,525
914,510
915,512
916,222
917,176
918,392
919,412
920,223
921,487
922,218
923,348
924,439
925,459
926,465
927,684
928,168
929,419
930,252
931,243
932,349
933,314
934,312
935,397
936,173
937,914
938,147
939,396
940,497
941,500
942,432
943,272
944,261
945,271
946,272
947,190
948,190
949,213
950,183
951,229
952,275
953,191
954,200
955,218
956,300
957,245
958,276
959,520
960,152
961,332
962,324
963,258
964,187
965,116
966,128
967,593
968,297
969,203
970,227
971,159
972,268
973,227
974,424
975,391
976,135
977,241
978,234
979,206
980,117
981,122
982,387
983,373
984,228
985,148
986,195
987,163
988,186
989,184
990,352
991,309
992,370
993,394
994,127
995,120
996,217
997,209
998,204
999,213
1000,325
